word,mean,std,n_nonzero,kept
earnings,0.0,0.0,0,False
stocks,0.0,0.0,0,False
jobs,0.3,0.483,3,False
billion,0.0,0.0,0,False
markets,0.0,0.0,0,False
investors,0.0,0.0,0,False
rates,0.0,0.0,0,False
yen,0.0,0.0,0,False
prices,0.0,0.0,0,False
data,0.0,0.0,0,False
central,0.0,0.0,0,False
expectations,0.0,0.0,0,False
estimates,0.0,0.0,0,False
reports,0.0,0.0,0,False
second,0.0,0.0,0,False
million,0.0,0.0,0,False
posts,0.0,0.0,0,False
forecasts,0.0,0.0,0,False
talks,0.0,0.0,0,False
lifts,2.0,0.0,10,True
expected,0.0,0.0,0,False
traders,0.0,0.0,0,False
chip,0.0,0.0,0,False
ahead,1.0,0.0,10,True
trading,0.0,0.0,0,False
hits,0.0,0.0,0,False
sources,0.0,0.0,0,False
costs,-1.0,0.0,10,True
holds,0.0,0.0,0,False
federal,0.0,0.0,0,False
shows,0.0,0.0,0,False
plans,0.0,0.0,0,False
results,0.0,0.0,0,False
three,0.0,0.0,0,False
key,0.0,0.0,0,False
term,0.0,0.0,0,False
decision,0.0,0.0,0,False
streaming,0.0,0.0,0,False
climbs,2.0,0.0,10,True
closes,0.0,0.0,0,False
analysts,0.0,0.0,0,False
signals,0.0,0.0,0,False
long,0.0,0.0,0,False
five,0.0,0.0,0,False
ever,0.0,0.0,0,False
services,0.0,0.0,0,False
payrolls,0.0,0.0,0,False
latest,0.0,0.0,0,False
hedge,0.0,0.0,0,False
according,0.0,0.0,0,False
traffic,0.0,0.0,0,False
faces,-1.0,0.0,10,True
hikes,-0.8,0.422,8,True
driven,0.0,0.0,0,False
meeting,0.0,0.0,0,False
third,0.0,0.0,0,False
truck,0.0,0.0,0,False
firms,0.0,0.0,0,False
returns,0.9,0.316,9,True
weekly,0.0,0.0,0,False
slows,-2.0,0.0,10,True
maker,0.0,0.0,0,False
chain,0.0,0.0,0,False
told,0.0,0.0,0,False
yields,0.0,0.0,0,False
wants,0.0,0.0,0,False
bigger,1.0,0.0,10,True
survey,0.0,0.0,0,False
tariffs,-2.0,0.0,10,True
days,0.0,0.0,0,False
highs,2.0,0.0,10,True
bets,0.0,0.0,0,False
advertising,0.0,0.0,0,False
sold,-0.1,0.316,1,False
options,0.0,0.0,0,False
bonds,0.0,0.0,0,False
dents,-2.0,0.0,10,True
administration,0.0,0.0,0,False
decade,0.0,0.0,0,False
poll,0.0,0.0,0,False
saw,0.0,0.0,0,False
workers,0.0,0.0,0,False
gas,0.0,0.0,0,False
platform,0.0,0.0,0,False
chief,0.0,0.0,0,False
across,0.0,0.0,0,False
airlines,0.0,0.0,0,False
finds,0.0,0.0,0,False
trillion,0.0,0.0,0,False
continues,0.0,0.0,0,False
calls,0.0,0.0,0,False
concerns,-2.0,0.0,10,True
closing,0.0,0.0,0,False
paying,0.0,0.0,0,False
freight,0.0,0.0,0,False
signs,0.0,0.0,0,False
came,0.0,0.0,0,False
leaves,0.0,0.0,0,False
historic,0.4,0.516,4,False
healthcare,0.0,0.0,0,False
odds,0.0,0.0,0,False
four,0.0,0.0,0,False
even,0.0,0.0,0,False
margin,0.0,0.0,0,False
months,0.0,0.0,0,False
salad,0.0,0.0,0,False
fiscal,0.0,0.0,0,False
raises,1.0,0.0,10,True
travel,0.0,0.0,0,False
insurance,0.0,0.0,0,False
linked,0.0,0.0,0,False
fourth,0.0,0.0,0,False
software,0.0,0.0,0,False
economists,0.0,0.0,0,False
performance,0.0,0.0,0,False
major,0.0,0.0,0,False
infrastructure,0.0,0.0,0,False
users,0.0,0.0,0,False
shopping,0.0,0.0,0,False
soars,3.1,0.316,10,True
called,0.0,0.0,0,False
equity,0.0,0.0,0,False
models,0.0,0.0,0,False
current,0.0,0.0,0,False
added,1.0,0.0,10,True
banks,0.0,0.0,0,False
exchange,0.0,0.0,0,False
behind,-1.0,0.0,10,True
times,0.0,0.0,0,False
needed,0.0,0.0,0,False
consumers,0.0,0.0,0,False
drive,0.0,0.0,0,False
taking,0.0,0.0,0,False
curve,0.0,0.0,0,False
built,0.0,0.0,0,False
race,0.0,0.0,0,False
half,0.0,0.0,0,False
takes,0.0,0.0,0,False
parks,0.0,0.0,0,False
remains,0.0,0.0,0,False
electric,0.0,0.0,0,False
media,0.0,0.0,0,False
states,0.0,0.0,0,False
seven,0.0,0.0,0,False
led,0.0,0.0,0,False
cyclosporiasis,-2.1,0.316,10,True
overshadows,-1.9,0.316,10,True
ends,0.0,0.0,0,False
starting,0.0,0.0,0,False
rout,-3.8,0.422,10,True
