phrase,round,agent_01,agent_02,agent_03,agent_04,agent_05,agent_06,agent_07,agent_08,agent_09,agent_10,mean,std,n_nonzero,pass
shares fall,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
rate hike,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
biggest analyst,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
analyst calls,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
biggest analyst calls,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock market,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
central bank,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
oil prices,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
jobs report,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
jobs data,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
record high,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
stock falls,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
earnings beat,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
stocks making,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
biggest moves,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
making the biggest,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
data center,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
inflation data,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
quarterly profit,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
billion deal,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
profit warning,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
first time,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
unemployment rate,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bond market,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock sinks,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
yen intervention,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
shares slide,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
revenue forecast,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
profit forecast,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tech stocks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
job cuts,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
chip stocks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
prediction markets,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
quarterly revenue,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
record low,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
profit beats,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
shares plunge,1,-4,-4,-4,-4,-4,-4,-3,-3,-4,-4,-3.8,0.422,10,True
market debut,1,1,0,0,0,1,0,0,0,0,0,0.2,0.422,2,False
cut jobs,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
files for bankruptcy,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4.0,0.0,10,True
bond yields,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
hit record,1,2,2,3,2,3,2,2,2,2,3,2.3,0.483,10,True
record highs,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
sales growth,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
profit beat,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
forecasts upbeat,1,3,3,3,3,3,2,3,2,3,2,2.7,0.483,10,True
hits record,1,2,2,3,2,3,2,2,2,2,3,2.3,0.483,10,True
deal hopes,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
job openings,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
rate hikes,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
guidance cut,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
moves midday,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
