phrase,mean_valence
worst day ever,-4.0
files for bankruptcy,-4.0
shares plunge,-3.8
stock plunge,-3.8
stock plunges,-3.8
shares tank,-3.8
revenue miss,-3.0
earnings miss,-3.0
losing streak,-3.0
outlook cut,-3.0
disappoints investors,-3.0
misses quarterly,-3.0
outlook disappoints,-3.0
guidance cut,-3.0
shares sink,-3.0
salmonella outbreak,-3.0
cuts profit,-3.0
profit falls,-3.0
bankruptcy sale,-3.0
shares slump,-3.0
cuts revenue,-3.0
stocks slump,-3.0
cuts sales,-3.0
earnings warning,-3.0
guidance disappoints,-3.0
stock sinks,-3.0
job losses,-3.0
profit warning,-3.0
warning hits,-2.9
quarterly loss,-2.9
drone attack,-2.8
stock drops,-2.7
stocks drop,-2.3
shares drop,-2.3
stock is falling,-2.2
falls to lowest,-2.1
spending worries,-2.0
rate hike concerns,-2.0
stay away,-2.0
stocks fall,-2.0
cuts full,-2.0
high inflation,-2.0
growth slows,-2.0
weigh on sales,-2.0
soft jobs report,-2.0
shares fall,-2.0
sales shares fall,-2.0
stock falls,-2.0
rising costs,-2.0
hits shares,-2.0
shares slide,-2.0
job cuts,-2.0
record low,-2.0
cut jobs,-2.0
record lows,-2.0
security risks,-2.0
higher costs,-2.0
hike concerns,-2.0
slowest growth,-2.0
forecast cut,-2.0
cuts annual,-2.0
squeeze margins,-2.0
cyclospora fears,-2.0
soft jobs,-2.0
outlook overshadows,-2.0
close lower,-1.9
data dents,-1.6
fall ahead,-1.0
raise rates,-1.0
hits sales,-1.0
higher rates,-1.0
inflation likely,-1.0
hike expectations,-1.0
billion cost,-1.0
high input,-1.0
rally cools,-1.0
rate hike,-1.0
share unlock,-1.0
lowest level,-1.0
rate hikes,-1.0
hike bets,-1.0
rate hike bets,-1.0
dents rate,-0.5
share sale,-0.5
restructuring plan,-0.5
take private,0.7
turnaround plan,0.8
quarterly profit,1.0
billion deal,1.0
driven demand,1.0
spending surge,1.0
output rises,1.0
companies added,1.0
agrees billion,1.0
dividend payers,1.0
deal hopes,1.0
test record,1.0
growth forecast,1.0
eases rate,1.0
unveils billion,1.0
targets billion,1.0
tariff refunds,1.0
reach billion,1.0
valued at billion,1.0
maintains annual,1.0
billion takeover,1.0
free cash,1.0
dividend run,1.0
quarterly dividend,1.0
eyes billion,1.0
cost saving,1.0
cut rates,1.0
plans billion,1.0
market stable,1.0
high yield,1.0
job openings,1.0
operating profit,1.0
invest billion,1.0
billion valuation,1.0
dip buyers,1.0
rate falls,1.0
dividend stocks,1.0
highest level,1.0
holds gains,1.1
time high,1.6
inflation eases,2.0
share buyback,2.0
stays strong,2.0
end higher,2.0
profit gain,2.0
lift sentiment,2.0
stocks gain,2.0
boosting business,2.0
decade high,2.0
regulators clear,2.0
gain ground,2.0
near record,2.0
economic growth,2.0
shares rise,2.0
stock buybacks,2.0
four year high,2.0
time to buy,2.0
seven week high,2.0
unveils billion buyback,2.0
billion buyback,2.0
analysts like,2.0
stages best,2.0
record setting,2.0
forecast raise,2.0
sales growth,2.0
revenue growth,2.0
strong cloud,2.0
fueled rally,2.0
stock rises,2.0
stock climbs,2.1
lifts sales,2.1
revenue climbs,2.1
margin boost,2.1
lifts annual,2.1
win win,2.1
profit growth,2.3
hit record,2.3
hits record,2.3
earnings growth,2.3
forecasts upbeat,2.7
upbeat revenue,2.7
upbeat quarterly,2.7
forecasts upbeat quarterly,2.7
upbeat quarterly revenue,2.7
guidance hike,2.7
earnings beat,3.0
record high,3.0
profit beats,3.0
raises dividend,3.0
profit rises,3.0
earnings strength,3.0
posts best,3.0
another record,3.0
beats quarterly,3.0
beat expectations,3.0
shares jump,3.0
strong earnings,3.0
raises outlook,3.0
stock jumps,3.0
revenue beat,3.0
better than expected,3.0
record highs,3.0
profit jumps,3.0
fresh record,3.0
earnings boom,3.0
lifts profit,3.0
best profit,3.0
beats forecast,3.0
beat earnings,3.0
revenue jumps,3.0
profit beat,3.0
closes at record,3.0
sales surge,3.1
profits surge,3.8
stock soars,3.8
stock surges,3.8
shares surge,3.8
shares soar,3.8
profit doubles,4.0
