phrase,mean_valence
files for bankruptcy,-4.0
shares plummet,-4.0
worst day ever,-4.0
plunges after suspending,-4.0
fund imploded,-4.0
stock crash,-4.0
fund meltdown,-4.0
flash crash,-3.9
fund imploded even,-3.9
stock s plunge,-3.9
shares tank,-3.8
stock plunges,-3.8
shares plunge,-3.8
stock plunge,-3.8
shockingly bad earnings,-3.8
shockingly bad,-3.7
profit warning hits,-3.3
job losses,-3.0
bankruptcy sale,-3.0
fall on weak,-3.0
cuts revenue,-3.0
earnings guidance cut,-3.0
warning hits shares,-3.0
cuts profit forecast,-3.0
warns on profit,-3.0
misses quarterly,-3.0
cuts profit guidance,-3.0
shares slump,-3.0
plans million bankruptcy,-3.0
cut of workforce,-3.0
second quarter loss,-3.0
recession fears,-3.0
stock drop,-3.0
cuts annual revenue,-3.0
disappoints investors,-3.0
guidance disappoints,-3.0
earnings warning,-3.0
cuts sales,-3.0
stocks slump,-3.0
losing streak,-3.0
analyst downgrade,-3.0
liquidation plan,-3.0
million bankruptcy,-3.0
profit falls,-3.0
data breach,-3.0
cut thousands,-3.0
cuts jobs,-3.0
tech layoffs,-3.0
outlook disappoints,-3.0
revenue miss,-3.0
big layoffs,-3.0
stocks tumble,-3.0
stocks slide,-3.0
jobs loss,-3.0
lost jobs,-3.0
salmonella outbreak,-3.0
wreaks havoc,-3.0
outlook cut,-3.0
drought wreaks havoc,-3.0
weak guidance,-3.0
bad earnings,-3.0
fears worsened,-3.0
unexpectedly lost jobs,-3.0
sales slump,-3.0
drop as outlook,-3.0
cuts profit,-3.0
shares sink,-3.0
earnings miss,-3.0
shares are falling,-3.0
imploded even,-3.0
stock sinks,-3.0
stock slumps,-3.0
suspending dividend,-3.0
jobs miss,-3.0
misses profit,-3.0
guidance cut,-3.0
bad earnings debut,-3.0
profit warning,-3.0
quarterly loss,-2.9
tumble following,-2.9
cancellation hits sales,-2.9
warning hits,-2.9
tumble following big,-2.9
million bankruptcy sale,-2.8
crash sets,-2.8
drone attack,-2.8
stock drops,-2.7
judge scandal,-2.5
economy unexpectedly lost,-2.4
stocks drop,-2.3
shares drop,-2.3
hits sales outlook,-2.3
extremely volatile outlook,-2.2
fund and lost,-2.2
extremely volatile,-2.2
stock is falling,-2.2
extreme drought wreaks,-2.2
cyclospora fears weigh,-2.2
falls to lowest,-2.1
volatile after trimming,-2.1
warship cancellation hits,-2.1
unexpectedly lost,-2.1
cyclospora outbreak,-2.1
drought wreaks,-2.1
rattles investors,-2.1
deal fade,-2.0
rising costs,-2.0
extreme drought,-2.0
hits shares,-2.0
volatile outlook,-2.0
record lows,-2.0
warning signs,-2.0
hostilities drive,-2.0
security risks,-2.0
higher costs,-2.0
slowest growth,-2.0
squeeze margins,-2.0
economic risks,-2.0
swing wildly,-2.0
warning shot,-2.0
deal hopes dim,-2.0
fears weigh,-2.0
trimming guidance,-2.0
warship cancellation,-2.0
prepackaged bankruptcy,-2.0
cancellation hits,-2.0
high input prices,-2.0
six year low,-2.0
jobs data dents,-2.0
spending unnerves,-2.0
shares slip,-2.0
creates economic risks,-2.0
long term unemployment,-2.0
hopes dim,-2.0
stocks swing wildly,-2.0
shares fall,-2.0
cuts annual,-2.0
spending worries,-2.0
cuts full,-2.0
sales shares fall,-2.0
soft jobs,-2.0
forecast cut,-2.0
rate hike concerns,-2.0
stocks fall,-2.0
